5' UTR Start	5' UTR End	3' UTR Start	3' UTR End	Chromosome Name	Exon Chr Start (bp)	Exon Chr End (bp)
				13	32945093	32945237
				13	32950807	32950928
				13	32953454	32953652
				13	32953887	32954050
				13	32954144	32954282
				13	32968826	32969070
				13	32971035	32971181
		32972908	32973347	13	32972299	32973347
25475067	25475180			2	25475063	25475180
				2	25472526	25472593
				2	25470906	25471121
				2	25470460	25470618
				2	25469920	25470027
				2	25469489	25469645
				2	25469029	25469178
				2	25468889	25468933
				2	25468122	25468201
				2	25467409	25467521
				2	25467024	25467207
				2	25466767	25466851
				2	25464431	25464576
				2	25463509	25463599
				2	25463171	25463319
				2	25461999	25462084
				2	25459805	25459874
				2	25458576	25458694
		25455845	25457147	2	25455845	25457289
28674648	28674729			13	28674605	28674729
				13	28644628	28644749
				13	28636004	28636206
				13	28631484	28631599
				13	28626682	28626811
				13	28624232	28624359
				13	28623772	28623911
				13	28623521	28623674
				13	28622412	28622580
				13	28611322	28611425
				13	28610072	28610180
				13	28609632	28609810
				13	28608438	28608544
				13	28608219	28608351
				13	28608024	28608128
				13	28602315	28602425
				13	28601225	28601378
				13	28598998	28599080
				13	28597487	28597614
				13	28592595	28592726
				13	28589727	28589838
				13	28589294	28589393
				13	28588589	28588694
		28577414	28578188	13	28577414	28578311
29137757	29137822			22	29137757	29137822
29130710	29130715			22	29130391	29130715
				22	29085253	29085254
				22	29085123	29085203
		29083731	29083884	22	29083731	29083974
29137757	29137822			22	29137757	29137822
29130710	29130715			22	29130391	29130715
				22	29121231	29121355
				22	29120965	29121112
				22	29115383	29115473
				22	29107897	29108005
				22	29105994	29106047
		29095826	29095901	22	29095826	29095925
		29092889	29092975	22	29092889	29092975
		29091698	29091861	22	29091698	29091861
		29091115	29091230	22	29091115	29091230
		29090020	29090105	22	29090020	29090105
		29085123	29085203	22	29085123	29085203
		29083731	29083974	22	29083731	29083974
29137757	29137822			22	29137757	29137822
29130710	29130715			22	29130391	29130715
				22	29115383	29115473
				22	29107897	29108005
				22	29105994	29106047
				22	29099493	29099554
				22	29095826	29095925
				22	29092889	29092975
				22	29091698	29091861
				22	29091115	29091230
				22	29090020	29090105
				22	29085123	29085203
		29083731	29083884	22	29083731	29083974
29137757	29137826			22	29137757	29137826
29130710	29130715			22	29130391	29130715
				22	29126408	29126536
				22	29121231	29121355
				22	29120965	29121112
				22	29115383	29115473
				22	29107897	29108005
				22	29105994	29106047
				22	29099493	29099554
				22	29095826	29095925
				22	29092889	29092975
				22	29091698	29091861
				22	29091115	29091230
				22	29090020	29090105
				22	29085123	29085203
		29083751	29083884	22	29083751	29083974
74733243	74733415			17	74732881	74733415
		74730197	74732242	17	74730197	74732546
106067943	106068136			4	106067943	106068136
106111517	106111662			4	106111517	106111662
106155054	106155099	106158598	106163928	4	106155054	106163928
52719765	52719852			3	52719765	52719852
52713728	52713739			3	52713590	52713739
				3	52712516	52712613
				3	52702514	52702661
				3	52696149	52696292
				3	52692215	52692331
				3	52685758	52685826
				3	52682360	52682458
				3	52678720	52678805
				3	52677264	52677359
				3	52675970	52676061
				3	52668618	52668831
				3	52662910	52663051
				3	52661289	52661386
				3	52651278	52651554
				3	52649367	52649472
				3	52643329	52643971
				3	52637537	52637748
				3	52623086	52623271
				3	52621369	52621451
				3	52620441	52620704
				3	52613070	52613215
				3	52610557	52610714
				3	52598066	52598249
				3	52597380	52597509
				3	52595783	52595984
				3	52588740	52588895
				3	52584763	52584833
				3	52584437	52584653
		52581857	52582078	3	52581857	52582251
29137757	29137790			22	29137757	29137790
29133904	29134026			22	29133904	29134026
29133272	29133311			22	29133248	29133311
				22	29130391	29130715
				22	29121231	29121355
				22	29121071	29121112
48555984	48556114			18	48555984	48556114
48573290	48573416			18	48573290	48573665
				18	48575056	48575230
				18	48575665	48575694
				18	48581151	48581363
				18	48584495	48584614
				18	48584710	48584826
				18	48586236	48586286
				18	48591793	48591976
				18	48593389	48593557
				18	48603008	48603146
		48604838	48611415	18	48604626	48611415
36262035	36262087			21	36261974	36262087
				21	36259140	36259393
				21	36252854	36253010
				21	36231771	36231875
				21	36206707	36206898
36259410	36259480			21	36259140	36259480
				21	36252854	36253010
				21	36231771	36231875
				21	36171598	36171759
		36164083	36164431	21	36164083	36164907
25475063	25475180			2	25475063	25475180
25471092	25471121			2	25470906	25471121
				2	25470460	25470618
				2	25469920	25470027
				2	25469489	25469645
				2	25469029	25469178
				2	25468889	25468933
				2	25468122	25468201
				2	25467409	25467521
				2	25467024	25467207
				2	25466767	25466851
				2	25464431	25464576
				2	25463509	25463599
				2	25463171	25463319
				2	25461999	25462084
				2	25459805	25459874
				2	25458576	25458694
		25457066	25457147	2	25457066	25457289
				22	29130391	29130709
				22	29121231	29121355
				22	29120965	29121112
				22	29115383	29115473
				22	29107897	29108005
				22	29105994	29106047
				22	29099493	29099554
				22	29095826	29095925
				22	29091698	29091861
				22	29091115	29091230
				22	29090020	29090105
				22	29085123	29085203
				22	29083885	29083974
				22	29130391	29130709
				22	29115383	29115473
				22	29107897	29108005
				22	29105994	29106047
				22	29099493	29099554
				22	29095826	29095925
				22	29092889	29092975
				22	29091698	29091861
				22	29091115	29091230
				22	29090020	29090105
				22	29085123	29085203
				22	29083885	29083974
				22	29130391	29130709
				22	29121231	29121355
				22	29120965	29121112
				22	29115383	29115473
				22	29107897	29108005
				22	29105994	29106047
				22	29099493	29099554
				22	29095826	29095925
				22	29092889	29092975
				22	29091698	29091861
				22	29091115	29091230
				22	29090020	29090105
				22	29085123	29085203
		29083732	29083884	22	29083732	29083974
29137757	29137788			22	29137757	29137788
29133873	29134026			22	29133873	29134026
29130710	29130715			22	29130391	29130715
				22	29121231	29121355
				22	29120965	29121112
				22	29115383	29115473
				22	29107897	29108005
				22	29105994	29106047
				22	29099493	29099554
				22	29095826	29095925
				22	29092889	29092975
				22	29091698	29091861
				22	29091115	29091230
				22	29090020	29090105
				22	29085123	29085203
		29083750	29083884	22	29083750	29083974
25565299	25565459			2	25565299	25565459
25536854	25537030			2	25536782	25537030
				2	25523008	25523112
		25504321	25505256	2	25504321	25505580
52713728	52713730			3	52713590	52713730
				3	52712516	52712613
				3	52702514	52702661
				3	52696149	52696292
				3	52692215	52692331
				3	52685758	52685826
				3	52682360	52682458
				3	52678720	52678805
				3	52677264	52677359
				3	52675970	52676061
				3	52668618	52668831
				3	52662910	52663051
				3	52661289	52661386
				3	52651278	52651554
				3	52649367	52649472
				3	52643329	52643971
				3	52637537	52637748
				3	52623086	52623271
				3	52621369	52621526
				3	52620441	52620704
				3	52613070	52613215
				3	52610557	52610714
				3	52598066	52598249
				3	52597299	52597509
				3	52595783	52595984
				3	52588740	52588895
				3	52584763	52584833
				3	52584437	52584653
		52582007	52582078	3	52582007	52582251
52713728	52713730			3	52713590	52713730
				3	52712516	52712613
				3	52702514	52702661
				3	52696149	52696292
				3	52692215	52692331
				3	52685758	52685826
				3	52682360	52682458
				3	52678720	52678805
				3	52677264	52677359
				3	52675970	52676061
				3	52668618	52668831
				3	52662910	52663051
				3	52661289	52661386
				3	52658913	52658957
				3	52651278	52651554
				3	52649367	52649472
				3	52643329	52643971
				3	52637537	52637748
				3	52623086	52623271
				3	52621369	52621526
				3	52620441	52620704
				3	52613070	52613215
				3	52610557	52610714
				3	52598066	52598249
				3	52597299	52597509
				3	52595783	52595984
				3	52592265	52592429
				3	52584763	52584833
				3	52584437	52584653
		52582026	52582078	3	52582026	52582251
52713728	52713730			3	52713590	52713730
				3	52712516	52712613
				3	52702514	52702661
				3	52696149	52696292
				3	52692215	52692331
				3	52685758	52685826
				3	52682360	52682458
				3	52678720	52678805
				3	52677264	52677359
				3	52675970	52676061
				3	52668618	52668831
				3	52662910	52663051
				3	52661289	52661386
				3	52658913	52658957
				3	52651278	52651554
				3	52649367	52649472
				3	52643329	52643971
				3	52637537	52637748
				3	52623086	52623271
				3	52621369	52621526
				3	52620441	52620704
				3	52613070	52613215
				3	52610557	52610714
				3	52598066	52598249
				3	52597299	52597509
				3	52595783	52595984
				3	52584763	52584833
				3	52584437	52584653
		52582027	52582078	3	52582027	52582251
198299724	198299751			2	198299696	198299751
				2	198288532	198288698
				2	198285753	198285857
				2	198285152	198285266
		198283620	198283655	2	198283620	198283675
		198283233	198283312	2	198283233	198283312
		198281615	198281635	2	198281615	198281635
52713728	52713730			3	52713590	52713730
				3	52712516	52712613
				3	52702514	52702661
				3	52696149	52696292
				3	52692215	52692331
				3	52685758	52685826
				3	52682360	52682458
				3	52678720	52678805
				3	52677264	52677359
				3	52675970	52676061
				3	52668618	52668831
				3	52662910	52663051
				3	52661289	52661386
				3	52651278	52651554
				3	52649367	52649472
				3	52643329	52643971
				3	52637537	52637748
				3	52623086	52623271
				3	52621369	52621451
				3	52620441	52620704
				3	52613070	52613215
				3	52610557	52610714
				3	52598066	52598249
				3	52597299	52597509
				3	52595783	52595984
				3	52588740	52588895
				3	52584763	52584833
				3	52584437	52584653
		52582007	52582078	3	52582007	52582251
				17	7579839	7579912
				17	7579700	7579721
				17	7579312	7579590
				17	7578371	7578554
				17	7578177	7578289
				17	7577499	7577608
		7565097	7565256	17	7565097	7565332
106068043	106068136			4	106068043	106068136
106155054	106155099			4	106155054	106158508
		106162591	106163919	4	106162496	106163919
50344324	50344518			7	50344324	50344518
50358644	50358657			7	50358644	50358697
				7	50367234	50367353
		50436069	50437142	7	50435704	50437142
				19	11094828	11095049
				19	11095949	11096081
				19	11096865	11097269
				19	11097581	11097679
				19	11098342	11098600
				19	11099993	11100119
				19	11101826	11101999
				19	11105504	11105677
				19	11106889	11107056
				19	11107170	11107220
				19	11113705	11113835
				19	11114016	11114073
				19	11118578	11118699
				19	11121057	11121207
				19	11123625	11123788
				19	11129633	11129699
				19	11130267	11130377
				19	11132401	11132643
				19	11134194	11134307
				19	11135007	11135114
				19	11136098	11136184
				19	11136976	11137022
				19	11138460	11138626
				19	11141406	11141569
				19	11143966	11144193
				19	11144799	11144876
				19	11145590	11145808
				19	11151974	11152236
				19	11168931	11169039
				19	11169464	11169565
				19	11170429	11170561
				19	11170721	11170863
		11172493	11172958	19	11172460	11172958
198299724	198299803			2	198299696	198299803
				2	198288532	198288698
				2	198285753	198285857
				2	198285152	198285266
		198283520	198283655	2	198283520	198283675
36421378	36421567			21	36421378	36421567
36421197	36421255			21	36421139	36421255
				21	36265222	36265260
29664835	29664838			17	29664835	29664898
				17	29667523	29667663
				17	29670027	29670153
				17	29676138	29676269
				17	29677201	29677336
		29683497	29683600	17	29683478	29683600
		29683978	29684108	17	29683978	29684108
		29684287	29684387	17	29684287	29684387
		29685498	29685640	17	29685498	29685640
		29685987	29686033	17	29685987	29686033
		29687505	29687615	17	29687505	29687615
				1	36945034	36945097
				1	36940978	36941274
				1	36939365	36939488
				1	36939036	36939223
				1	36938118	36938287
				1	36937839	36937992
				1	36937667	36937740
				1	36937034	36937247
				1	36935253	36935441
				1	36934757	36934858
				1	36933676	36933822
				1	36933423	36933563
				1	36933159	36933252
				1	36932831	36932912
		36931719	36931957	1	36931719	36932428
52719765	52719933			3	52719765	52719933
52716108	52716249			3	52716108	52716249
52713728	52713742			3	52713590	52713742
				3	52712516	52712613
				3	52702514	52702661
				3	52696220	52696292
7590695	7590799			17	7590695	7590799
7579913	7579940			17	7579839	7579940
				17	7579700	7579721
				17	7579312	7579590
				17	7578371	7578554
				17	7578177	7578289
				17	7577499	7577608
				17	7577019	7577155
				17	7576853	7576926
		7576525	7576624	17	7576525	7576657
		7573927	7574033	17	7573927	7574033
		7571722	7573008	17	7571722	7573008
55086727	55086970			7	55086727	55087058
				7	55209979	55210130
				7	55210998	55211181
				7	55214299	55214433
				7	55218987	55219055
				7	55220239	55220357
				7	55221704	55221845
				7	55223523	55223639
				7	55224226	55224352
		55224537	55224644	7	55224452	55224644
52713728	52713730			3	52713590	52713730
				3	52712516	52712613
				3	52702514	52702661
				3	52696149	52696292
				3	52692215	52692331
				3	52685758	52685826
				3	52682360	52682458
				3	52678720	52678805
				3	52677264	52677359
				3	52675970	52676061
				3	52668618	52668831
				3	52662910	52663051
				3	52661289	52661386
				3	52651278	52651554
				3	52649367	52649472
				3	52643329	52643971
				3	52637537	52637748
				3	52623086	52623268
				3	52621369	52621526
				3	52620441	52620704
				3	52613070	52613215
				3	52610557	52610714
				3	52598066	52598249
				3	52597299	52597509
				3	52595783	52595984
				3	52588799	52588895
				2	198263693	198263752
				2	198263185	198263305
				2	198262709	198262840
				2	198260780	198261052
				2	198257776	198257912
52719765	52719810			3	52719765	52719810
52718872	52718930			3	52718872	52718930
52716108	52716249			3	52716108	52716249
52715720	52715836			3	52715720	52715836
52713728	52713742			3	52713650	52713742
29137757	29137799			22	29137757	29137799
29121231	29121355			22	29121231	29121355
29120965	29121112			22	29120965	29121112
29115403	29115473			22	29115383	29115473
				22	29107897	29108005
				22	29105994	29106047
				22	29099493	29099554
				22	29095826	29095925
				22	29092956	29092975
				7	50367245	50367353
				7	50467616	50467707
11071677	11071850			19	11071677	11071850
11091453	11091528			19	11091453	11091528
11094797	11094827			19	11094797	11095049
				19	11095949	11096081
				19	11096865	11097269
				19	11097581	11097679
				19	11098342	11098600
				19	11099993	11100119
				19	11101826	11101999
				19	11105504	11105677
				19	11106889	11107056
				19	11107170	11107220
				19	11113705	11113835
				19	11114016	11114073
				19	11118578	11118699
				19	11121057	11121207
				19	11123625	11123788
				19	11129633	11129699
				19	11130267	11130377
				19	11132401	11132643
				19	11134194	11134307
				19	11135007	11135114
				19	11136098	11136184
				19	11136976	11137022
				19	11138460	11138626
				19	11141406	11141569
				19	11143966	11144193
				19	11144443	11144541
				19	11144799	11144876
				19	11145590	11145808
				19	11151983	11152236
				19	11168931	11169039
				19	11169464	11169565
				19	11170429	11170561
				19	11170721	11170863
		11172493	11172958	19	11172460	11172958
29421995	29422327			17	29421995	29422387
				17	29483001	29483144
				17	29486028	29486111
				17	29490204	29490394
				17	29496909	29497015
				17	29508440	29508507
				17	29508728	29508803
				17	29509526	29509683
				17	29527440	29527613
				17	29528055	29528177
				17	29528429	29528503
				17	29533258	29533389
				17	29541469	29541603
				17	29546023	29546136
		29549009	29549782	17	29548868	29549782
52719765	52719866			3	52719765	52719866
52713728	52713742			3	52713590	52713742
				3	52712516	52712613
				3	52702514	52702661
				3	52696149	52696292
				3	52692215	52692331
				3	52685780	52685826
				22	29107897	29107919
				22	29105994	29106047
				22	29099493	29099554
				22	29095826	29095925
				22	29092889	29092975
				22	29091698	29091861
				22	29091115	29091197
				22	29090020	29090105
				22	29085123	29085203
		29083731	29083884	22	29083731	29083974
36421465	36421595			21	36421465	36421595
36421197	36421255			21	36421139	36421255
				21	36265222	36265260
				21	36259140	36259393
				21	36252854	36253010
				21	36231771	36231875
				21	36206707	36206898
				21	36171598	36171759
		36160098	36164431	21	36160098	36164907
50348317	50348502			7	50348317	50348502
50358644	50358657			7	50358644	50358697
				7	50367234	50367353
				7	50450238	50450405
				7	50455043	50455168
				7	50459427	50459561
		50468326	50468574	7	50467616	50468574
52719452	52719594			3	52719452	52719594
52716108	52716249			3	52716108	52716249
52715720	52715836			3	52715720	52715836
52713728	52713742			3	52713598	52713742
29137757	29137771			22	29137757	29137771
29130710	29130715			22	29130391	29130715
				22	29126444	29126536
				22	29121231	29121355
				22	29120965	29121112
				22	29115383	29115473
				22	29107897	29108005
50348318	50348502			7	50348318	50348502
50358644	50358657			7	50358644	50358697
				7	50367234	50367353
				7	50444231	50444491
				7	50450238	50450405
				7	50459427	50459561
		50468326	50470264	7	50467616	50470264
				1	36945034	36945097
				1	36940978	36941274
				1	36939365	36939488
				1	36939036	36939223
				1	36938118	36938287
				1	36937839	36937992
				1	36937667	36937740
				1	36937034	36937247
				1	36935253	36935441
				1	36934757	36934858
				1	36933676	36933822
				1	36933423	36933563
				1	36933159	36933252
				1	36932831	36932912
				1	36931958	36932509
50344378	50344518			7	50344378	50344518
50358644	50358657			7	50358644	50358697
				7	50367234	50367353
				7	50444231	50444491
				7	50450238	50450405
				7	50459427	50459485
		50459521	50459561	7	50459488	50459561
		50467616	50470223	7	50467616	50470223
55086811	55086970			7	55086811	55087058
				7	55209979	55210130
				7	55210998	55211181
				7	55214299	55214433
				7	55218987	55219055
				7	55220239	55220357
				7	55221704	55221845
				7	55223523	55223639
				7	55224226	55224352
				7	55224452	55224525
				7	55225356	55225446
				7	55227832	55228031
				7	55229192	55229324
				7	55231426	55231516
				7	55232973	55233130
				7	55238868	55238906
		55240594	55240621	7	55240539	55240621
		55323947	55324313	7	55323947	55324313
11071786	11071850			19	11071786	11071850
11075983	11075985			19	11075983	11075985
11094800	11094827			19	11094800	11095049
				19	11095949	11096081
				19	11096865	11097269
				19	11097581	11097679
				19	11098342	11098600
				19	11099993	11100119
				19	11101826	11101999
				19	11105504	11105677
				19	11106889	11107056
				19	11107170	11107220
				19	11113705	11113835
				19	11114016	11114073
				19	11118578	11118699
				19	11121057	11121207
				19	11123625	11123788
				19	11129633	11129699
				19	11130267	11130377
				19	11132401	11132643
				19	11134194	11134307
				19	11135007	11135114
				19	11136098	11136184
				19	11136976	11137022
				19	11138460	11138626
				19	11141406	11141569
				19	11143966	11144193
				19	11144799	11144876
				19	11145590	11145808
				19	11151983	11152236
				19	11168934	11169039
				19	11169464	11169565
				19	11170429	11170561
				19	11170721	11170863
				19	11172460	11172492
29664835	29664838			17	29664835	29664898
				17	29665020	29665157
				17	29665722	29665823
				17	29667523	29667663
				17	29670027	29670153
				17	29676138	29676269
				17	29677201	29677336
				17	29679275	29679432
				17	29683478	29683600
				17	29683978	29684108
				17	29684287	29684387
				17	29685498	29685640
				17	29685987	29686033
				17	29687505	29687721
				17	29701031	29701147
		29705950	29706041	17	29705906	29706041
		29708891	29708905	17	29708891	29708905
7590695	7590805			17	7590695	7590805
7579913	7579937			17	7579839	7579937
				17	7579700	7579721
				17	7579312	7579590
				17	7578371	7578554
				17	7578177	7578289
				17	7577499	7577608
				17	7577019	7577155
				17	7576853	7576926
				17	7573927	7574033
		7571739	7572926	17	7571739	7573008
				3	52712516	52712583
				3	52702514	52702661
				3	52696149	52696292
				3	52692215	52692331
				3	52685758	52685826
				3	52682360	52682458
				3	52678720	52678805
				3	52677264	52677359
				3	52675970	52676061
				3	52668618	52668831
				3	52662910	52663051
				3	52661289	52661386
				3	52658913	52658957
				3	52651278	52651554
				3	52649367	52649472
				3	52643329	52643971
				3	52637537	52637748
				3	52623086	52623268
				3	52621369	52621526
				3	52620446	52620704
29130710	29130715			22	29130391	29130715
				22	29121231	29121355
				22	29120874	29120911
				22	29107897	29108005
				22	29105994	29106047
				22	29099493	29099554
				22	29095826	29095925
				22	29092886	29092975
52719452	52719598			3	52719452	52719598
52713728	52713742			3	52713590	52713742
				3	52712516	52712613
				3	52702543	52702661
55177416	55177651			7	55177416	55177651
55209979	55210049			7	55209979	55210130
				7	55210998	55211181
				7	55214299	55214417
52719765	52719866			3	52719765	52719866
52716108	52716249			3	52716108	52716249
52713728	52713739			3	52713590	52713739
				3	52712516	52712613
				3	52702637	52702661
				19	11094828	11095049
				19	11095949	11096081
				19	11096865	11097269
				19	11097581	11097679
				19	11098342	11098600
				19	11099993	11100119
				19	11101826	11101999
				19	11105504	11105677
				19	11106889	11107056
				19	11107170	11107220
				19	11113705	11113835
				19	11114016	11114073
				19	11118578	11118699
				19	11121057	11121207
				19	11123625	11123788
				19	11129633	11129699
				19	11130267	11130377
				19	11132401	11132643
				19	11134194	11134307
				19	11135007	11135114
				19	11136098	11136184
				19	11136976	11137022
				19	11138460	11138626
				19	11141406	11141569
				19	11143966	11144193
				19	11144799	11144876
				19	11145590	11145808
				19	11151974	11152236
				19	11168934	11169039
				19	11169464	11169565
				19	11170429	11170561
				19	11170721	11170863
		11172493	11172958	19	11172460	11172958
48494410	48494484			18	48494410	48494484
48500767	48500931			18	48500767	48500931
48573290	48573416			18	48573290	48573665
				18	48575056	48575230
				18	48575665	48575694
				18	48577724	48577785
		48579023	48579095	18	48579005	48579095
		48581151	48581363	18	48581151	48581363
		48584495	48584514	18	48584495	48584514
108093843	108093913			11	108093843	108093913
108095511	108095598			11	108095511	108095598
108098322	108098351			11	108098322	108098423
				11	108098503	108098615
				11	108099905	108100050
				11	108106397	108106561
				11	108114680	108114845
				11	108115515	108115753
				11	108117691	108117854
				11	108119660	108119829
				11	108121428	108121799
				11	108122564	108122758
				11	108123544	108123639
				11	108124541	108124766
				11	108126942	108127067
				11	108128208	108128333
				11	108129713	108129802
				11	108137898	108138069
				11	108139137	108139336
				11	108141791	108141873
				11	108141978	108142133
				11	108143259	108143334
				11	108143449	108143579
				11	108150218	108150335
				11	108151722	108151895
				11	108153437	108153606
				11	108154954	108155200
				11	108158327	108158442
				11	108159704	108159830
				11	108160329	108160528
				11	108163346	108163520
				11	108164040	108164204
				11	108165654	108165786
				11	108168014	108168109
				11	108170441	108170612
				11	108172375	108172516
				11	108173580	108173756
				11	108175402	108175579
				11	108178624	108178711
				11	108180887	108181042
				11	108183138	108183225
				11	108186550	108186638
				11	108186738	108186840
				11	108188100	108188248
				11	108190681	108190785
				11	108192028	108192147
				11	108196037	108196271
				11	108196785	108196952
				11	108198372	108198485
				11	108199748	108199965
				11	108200941	108201148
				11	108202171	108202284
				11	108202606	108202764
				11	108203489	108203627
				11	108204613	108204695
				11	108205696	108205836
				11	108206572	108206688
				11	108213949	108214098
				11	108216470	108216635
				11	108218006	108218092
				11	108224493	108224607
				11	108225538	108225601
				11	108235809	108235945
		108236236	108239829	11	108236052	108239829
55177540	55177651			7	55177540	55177651
55209979	55210049			7	55209979	55210130
				7	55210998	55211181
				7	55214299	55214433
				7	55218987	55219055
				7	55220239	55220357
				7	55221704	55221845
				7	55223523	55223639
				7	55224226	55224352
				7	55224452	55224525
				7	55225356	55225446
				7	55227832	55228031
				7	55229192	55229324
				7	55231426	55231516
				7	55232973	55233130
				7	55238868	55238906
				7	55240676	55240817
				7	55241614	55241736
				7	55242415	55242513
				7	55248986	55249171
				7	55259412	55259567
				7	55260459	55260534
				7	55266410	55266556
				7	55268009	55268106
				7	55268881	55269048
				7	55269428	55269475
				7	55270210	55270318
		55273311	55273591	7	55272949	55273591
55086714	55086970			7	55086714	55087058
				7	55209979	55210130
				7	55210998	55211181
				7	55218987	55219055
				7	55220239	55220357
				7	55221704	55221845
				7	55223523	55223639
				7	55224226	55224352
				7	55224452	55224525
				7	55225356	55225446
				7	55227832	55228031
				7	55229192	55229324
				7	55231426	55231516
				7	55232973	55233130
				7	55238868	55238906
				7	55240676	55240817
				7	55241614	55241736
				7	55242415	55242513
				7	55248986	55249171
				7	55259412	55259567
				7	55260459	55260534
				7	55266410	55266556
				7	55268009	55268106
				7	55268881	55269048
				7	55269428	55269475
		55270459	55270769	7	55270210	55270769
7590695	7590799			17	7590695	7590799
7579913	7579940			17	7579839	7579940
				17	7579700	7579721
				17	7579312	7579590
				17	7578371	7578554
				17	7578177	7578289
				17	7577499	7577608
				17	7577019	7577155
				17	7576853	7576926
		7576525	7576536	17	7576525	7576584
		7573927	7574033	17	7573927	7574033
		7571722	7573008	17	7571722	7573008
11175510	11175720			1	11175453	11175720
				1	11174870	11174944
				1	11174375	11174510
				1	11172909	11172974
				1	11169706	11169786
				1	11169360	11169427
36421465	36421595			21	36421465	36421595
36421197	36421255			21	36421139	36421255
				21	36259140	36259393
				21	36252903	36253010
				22	29107897	29107943
				22	29105994	29106047
				22	29099493	29099554
				22	29095826	29095925
				22	29085123	29085203
		29083731	29083884	22	29083731	29083974
				17	29527554	29527613
				17	29528055	29528177
				17	29528429	29528503
				17	29533258	29533389
				17	29541469	29541603
				17	29546023	29546136
				17	29548868	29548947
				17	29550462	29550585
				17	29552113	29552268
				17	29553453	29553702
				17	29554236	29554309
				17	29554541	29554624
				17	29556043	29556483
				17	29556853	29556992
				17	29557278	29557400
				17	29557860	29557943
				17	29559091	29559207
				17	29559718	29559899
				17	29560020	29560231
				17	29562629	29562790
				17	29562936	29563039
				17	29576002	29576137
				17	29585362	29585520
				17	29586050	29586147
				17	29587387	29587533
				17	29588729	29588875
				17	29592247	29592357
				17	29652838	29653270
				17	29654517	29654857
				17	29657314	29657516
				17	29661856	29662049
				17	29663351	29663491
				17	29663653	29663932
				17	29664386	29664600
				17	29664837	29664898
				17	29665043	29665157
				17	29665722	29665823
				17	29667523	29667663
				17	29670027	29670153
				17	29676138	29676269
				17	29677201	29677336
				17	29679275	29679432
				17	29683478	29683600
				17	29683978	29684108
				17	29684287	29684387
				17	29685498	29685640
				17	29685987	29686033
				17	29687505	29687721
				17	29694243	29694296
		29701174	29701451	17	29701031	29701451
52719765	52719898			3	52719765	52719898
52718872	52718930			3	52718872	52718930
52716108	52716249			3	52716108	52716249
52713728	52713739			3	52713599	52713739
52443895	52444366			3	52443858	52444366
				3	52443730	52443759
				3	52443570	52443624
				3	52442490	52442622
				3	52441974	52442093
				3	52441415	52441476
				3	52441190	52441332
				3	52440845	52440923
				3	52440269	52440392
				3	52439781	52439928
				3	52439126	52439310
				3	52438469	52438602
				3	52437432	52437910
				3	52437154	52437314
				3	52436795	52436887
				3	52436618	52436690
		52435029	52436303	3	52435029	52436437
148581256	148581337			7	148581256	148581337
148544391	148544397			7	148544274	148544397
				7	148543562	148543690
				7	148529726	148529842
				7	148526820	148526940
				7	148525832	148525972
				7	148524256	148524358
				7	148523561	148523724
				7	148516688	148516779
				7	148514969	148515209
				7	148514314	148514483
				7	148513776	148513870
				7	148512598	148512638
				7	148512006	148512131
				7	148511051	148511229
				7	148508717	148508812
				7	148507425	148507506
				7	148506402	148506482
				7	148506163	148506247
		148504477	148504737	7	148504477	148504798
				17	41243452	41243841
				17	41242961	41243049
				17	41234421	41234592
				17	41228554	41228628
				1	36937034	36937075
				1	36935253	36935441
				1	36933676	36933822
				1	36933423	36933563
				1	36933159	36933252
				1	36932831	36932912
		36931684	36931957	1	36931684	36932428
178867315	178867504			3	178867315	178867504
178916538	178916613			3	178916538	178916967
				17	29685566	29685640
				17	29685987	29686033
		29687730	29687974	17	29687505	29687974
41277294	41277468			17	41277294	41277468
41276114	41276132			17	41276034	41276132
				17	41267743	41267796
				17	41258473	41258550
				17	41256885	41256973
				17	41256139	41256278
				17	41251792	41251897
				17	41249261	41249306
				17	41247863	41247939
				17	41246761	41246877
				17	41242961	41243049
				17	41234421	41234592
				17	41228505	41228628
				17	41226348	41226538
				17	41222945	41223255
				17	41219625	41219712
				17	41215891	41215968
				17	41215350	41215390
				17	41209069	41209152
				17	41203080	41203134
				17	41199660	41199720
		41196822	41197800	17	41196822	41197819
				3	52438469	52438493
				3	52437817	52437910
				3	52436795	52436857
				3	52436618	52436690
		52435039	52436303	3	52435039	52436437
41277199	41277340			17	41277199	41277340
41276114	41276132			17	41276034	41276132
				17	41267743	41267796
				17	41258473	41258550
				17	41256885	41256973
				17	41256139	41256278
				17	41251792	41251897
				17	41249261	41249306
				17	41247863	41247939
				17	41245601	41246877
52443730	52443799			3	52443730	52443799
52443570	52443624			3	52443570	52443624
52442508	52442622			3	52442490	52442622
				3	52441974	52442093
				3	52441415	52441476
				3	52441195	52441332
41277288	41277500			17	41277288	41277500
41276114	41276132			17	41276034	41276132
				17	41267743	41267796
				17	41258473	41258550
				17	41256885	41256973
				17	41256139	41256278
				17	41251792	41251897
				17	41249261	41249306
				17	41247863	41247939
				17	41243452	41246877
				17	41242961	41243049
				17	41234421	41234592
				17	41231351	41231416
				17	41228505	41228628
				17	41226348	41226538
				17	41222945	41223255
				17	41219625	41219712
				17	41215891	41215968
				17	41215350	41215390
				17	41209069	41209152
				17	41203080	41203134
				17	41201138	41201211
				17	41199660	41199720
		41197646	41197694	17	41197646	41197819
				17	41256885	41256908
				17	41256139	41256278
